Shloka Number,Text
1,"पढमं चिअ धवल-कओववी अमंबुरुह-गोअरं णमह |
हरि-जढर-णिग्गमुक्त्ति-णाल-मुत्तं पिव सर्वभुं"
2,"णिम्माआ तेचि णवर कब्व-कित्तीओ जाण लोअस्स |
कण्णे विसंति हिअए वसंत पसरंति अ मुहम्मि"
3,"तं पणमह लिंगिच्छच्लेण णिवस णिवेस-कमलम्मि |
जस्स परमाणु-णिवो व्व भुवण-निम्माण-पडिवण्णो"
4,"अट्टमावती सो जअइ जवुज्जअस्स सा जस्स |
फलिक्खावलि-कज्जम्मि घटइ बंभंड-परिवाडी"
5,"||
सुकई........ भेसु जाण परिसंडिआई णामाई |
णिअअ-णिबंधे अ ताण णणु समत्तं च काअद्धं | | ||
पाणमइआओ जाणं घरंति कब्येसु वण्ण-मालाओ |
..... भावा जीअस्स ते जिअंतिचित्र मआ वि"
6,"विअड-ससि-मंडला अंत-सलिल भरिअम्मि भुवण-चलअम्मि |
हरिणो हरिणच्छाअं विलास परिसंठिअं जइ"
7,"असुरोऽस्थिनिघर्षणविकसितधूमावलम्बिनखप्रान्तः | रवरोष-
गृहीतधनमण्डल इव नरकेसरी जयति"
8,"जाओ रवि-अर-परि पिल्लुणेण थोउम्ह पिंजर च्छाया |
चिर-आल-डि-महिहर-गिरोह-मुक व्व णह मया"
9,"निर्मातारस्त एव केवलं काव्यकीर्तयो येषां लोकस्य | कर्णे विशन्ति हृदये
बसन्ति प्रसरन्ति च मुखे"
10,"मुक्तेऽपि नरमृगेन्द्रत्वे बुक्कारकलुषित-
गलस्य | हरेर्जयति चिरं विहतशब्दपरिघर्घरा वाणी"
11,"अवधीरित-
दिग्गजचन्द्रहरिणप्रलयाभ्रजालर सितस्य | असुर एव संरम्भा जयन्ति
मायामृगेन्द्रस्य"
12,"रवरोषालितघन निरवलम्बसंघटिततडित्समूह
इव | नरहरेर्जयति कडारकेसरः कंधरावन्धः"
13,"दंष्ट्रा महावराहस्य वदनमार्गेण निर्गता जयति उदर स्थितनाभि कमलकंद-
मूलादिव मृणाली"
14,"तं नमत यो वराहत्ये फणामणिघटमानप्रतिविम्बः | शेषस्थि-
तामपि वसुधां वहतीव प्रभावसंक्रान्तः"
15,"अधः स्थितसूर्यनि-
वारणाय छत्रमध इव वहन्ती जयति सशेषा वाराहश्वासदूरोत्क्षिप्ता
पृथिवी"
16,"अङ्गानि विष्णोर्वामनत्ये विषममांसस्थपुटानि | अल्पो-
दनप्रभवदभुवनभूतानीव जयन्ति"
17,"जयति घरामुद्धरन् भरनिःसा-
रितमुखाग्रचरणेन निजदेहेन करेणेव पञ्चाङ्गुलिना महाकूर्मः"
